10-09-2001;2.4;13173
11-09-2001;3.1;15743
12-09-2001;4.5;10855
13-09-2001;4.6;6449
14-09-2001;4.2;4901
17-09-2001;3.7;3829
18-09-2001;4.5;2230
19-09-2001;4.4;10119
20-09-2001;3.8;9540
21-09-2001;2.6;10207
24-09-2001;2.7;8026
25-09-2001;2.7;3400
26-09-2001;2.6;5872
27-09-2001;2.5;3406
28-09-2001;2.2;12834
01-10-2001;2.4;2930
02-10-2001;2.3;11176
03-10-2001;2.1;1014
04-10-2001;2.4;3581
05-10-2001;2.2;826
08-10-2001;2.3;1293
09-10-2001;1.9;1918
10-10-2001;2.3;5984
11-10-2001;2.9;16388
12-10-2001;3.9;9489
15-10-2001;3.3;10866
16-10-2001;3.6;4650
17-10-2001;3.5;4561
18-10-2001;3.7;4733
19-10-2001;3.4;3133
22-10-2001;3.6;10325
23-10-2001;8;48434
24-10-2001;8.4;60772
25-10-2001;7.6;18676
26-10-2001;6.9;13131
29-10-2001;7.1;6436
30-10-2001;7.1;13172
31-10-2001;5.5;22365
01-11-2001;5.6;13729
02-11-2001;5.6;13301
05-11-2001;5.3;10256
06-11-2001;5;8318
07-11-2001;4.7;6241
08-11-2001;5.2;8734
09-11-2001;5;3212
12-11-2001;5;1784
13-11-2001;5.1;3364
14-11-2001;4.9;1788
15-11-2001;4.7;882
16-11-2001;4.9;6145
19-11-2001;4.8;7374
20-11-2001;4.6;9160
21-11-2001;4.9;3412
22-11-2001;4.9;2557
23-11-2001;5.9;43916
26-11-2001;6;16987
27-11-2001;5.7;3683
28-11-2001;5.4;3611
29-11-2001;5.3;6012
30-11-2001;4.8;9181
03-12-2001;4.8;1287
04-12-2001;5.2;18011
05-12-2001;5.4;7744
06-12-2001;5.6;4912
07-12-2001;5.5;19489
10-12-2001;9;37833
11-12-2001;16.1;146489
12-12-2001;11.9;93891
13-12-2001;11.5;24103
14-12-2001;11;14897
17-12-2001;11.8;7790
18-12-2001;11.2;5024
19-12-2001;10.8;7492
20-12-2001;9.5;19126
21-12-2001;9.3;18481
24-12-2001;10.6;12373
27-12-2001;10.3;3276
28-12-2001;10.5;4241
02-01-2002;10;3780
03-01-2002;10.2;5410
04-01-2002;10.5;5291
07-01-2002;10.3;12285
08-01-2002;10;3603
09-01-2002;9.5;8809
10-01-2002;8.7;20656
11-01-2002;9.6;9313
14-01-2002;9;3412
15-01-2002;9.3;2435
16-01-2002;9.3;3255
17-01-2002;9;6285
18-01-2002;8.6;2559
21-01-2002;8.2;2443
22-01-2002;8;13456
23-01-2002;8.1;2021
24-01-2002;9;11047
25-01-2002;8.7;3987
28-01-2002;8.9;1121
29-01-2002;8.8;2997
30-01-2002;8.6;1502
31-01-2002;8.6;4309
01-02-2002;9;10014
04-02-2002;9.8;4774
05-02-2002;9.4;4834
06-02-2002;9.6;4578
07-02-2002;9.5;2992
08-02-2002;9.4;3264
11-02-2002;9.6;1871
12-02-2002;11.3;21711
13-02-2002;12;14120
14-02-2002;9.6;14824
15-02-2002;9.2;6714
18-02-2002;9.5;6405
19-02-2002;9.3;2755
20-02-2002;9.1;2518
21-02-2002;9.4;1081
22-02-2002;8.9;3209
25-02-2002;9.4;2018
26-02-2002;8.6;5361
27-02-2002;9.2;2283
28-02-2002;8.8;2600
01-03-2002;9;1661
04-03-2002;9;683
05-03-2002;9.1;1529
06-03-2002;8.7;2524
07-03-2002;8.9;2980
08-03-2002;8.9;2132
11-03-2002;8.6;3656
12-03-2002;8.5;3695
13-03-2002;8.6;1216
14-03-2002;8.7;1114
15-03-2002;8.9;1508
18-03-2002;9.2;2138
19-03-2002;8.9;1593
